ronda,orden,caso,operacion,localidad,gateway_region,regiones_hogar,inicio_utc,latencia_ms,reintentos
63,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.856+00:00,2.672,0
63,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.858+00:00,14.001,0
63,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.872+00:00,16.098,0
63,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.889+00:00,12.094,0
64,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.901+00:00,15.723,0
64,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.916+00:00,5.391,0
64,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.922+00:00,20.466,0
64,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.942+00:00,5.476,0
65,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.948+00:00,0.438,0
65,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:43.948+00:00,11.927,0
65,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:43.960+00:00,14.793,0
65,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.975+00:00,12.755,0
66,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:43.988+00:00,4.911,0
66,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:43.993+00:00,10.954,0
66,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.004+00:00,13.656,0
66,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.017+00:00,5.446,0
67,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.023+00:00,24.043,0
67,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.047+00:00,13.367,0
67,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.060+00:00,0.532,0
67,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.061+00:00,11.789,0
68,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.073+00:00,0.843,0
68,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.074+00:00,13.491,0
68,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.087+00:00,13.667,0
68,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.101+00:00,0.467,0
69,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.101+00:00,0.437,0
69,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.102+00:00,23.231,0
69,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.125+00:00,0.910,0
69,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.126+00:00,13.663,0
70,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.140+00:00,32.557,0
70,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.172+00:00,4.747,0
70,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.177+00:00,0.507,0
70,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.177+00:00,21.934,0
71,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.199+00:00,24.384,0
71,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.224+00:00,17.843,0
71,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.242+00:00,5.552,0
71,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.247+00:00,0.921,0
72,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.248+00:00,13.065,0
72,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.261+00:00,13.963,0
72,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.275+00:00,5.129,0
72,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.281+00:00,0.447,0
73,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.281+00:00,0.796,0
73,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.282+00:00,22.090,0
73,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.304+00:00,15.049,0
73,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.319+00:00,6.458,0
74,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.325+00:00,0.857,0
74,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.326+00:00,0.797,0
74,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.327+00:00,13.818,0
74,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.341+00:00,23.904,0
75,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.365+00:00,17.006,0
75,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.382+00:00,17.273,0
75,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.399+00:00,0.847,0
75,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.400+00:00,4.544,0
76,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.405+00:00,13.781,0
76,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.419+00:00,27.497,0
76,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.446+00:00,4.217,0
76,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.450+00:00,0.901,0
77,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.451+00:00,0.426,0
77,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.452+00:00,12.661,0
77,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.464+00:00,14.216,0
77,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.479+00:00,3.221,0
78,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.482+00:00,13.538,0
78,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.495+00:00,0.990,0
78,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.496+00:00,13.649,0
78,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.510+00:00,1.070,0
79,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.511+00:00,4.398,0
79,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.516+00:00,0.432,0
79,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.516+00:00,17.959,0
79,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.534+00:00,16.433,0
80,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.550+00:00,0.538,0
80,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.551+00:00,25.238,0
80,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.576+00:00,30.190,0
80,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.607+00:00,1.210,0
81,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.608+00:00,17.281,0
81,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.625+00:00,18.006,0
81,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.643+00:00,13.786,0
81,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.657+00:00,0.478,0
82,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.657+00:00,0.772,0
82,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.658+00:00,0.445,0
82,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.659+00:00,12.153,0
82,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.671+00:00,16.285,0
83,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.687+00:00,0.520,0
83,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.688+00:00,27.420,0
83,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.715+00:00,14.298,0
83,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.729+00:00,12.202,0
84,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.742+00:00,0.987,0
84,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.743+00:00,13.884,0
84,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.757+00:00,13.903,0
84,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.771+00:00,0.538,0
85,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.771+00:00,22.976,0
85,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.794+00:00,5.015,0
85,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.799+00:00,12.972,0
85,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.812+00:00,15.398,0
86,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.828+00:00,11.968,0
86,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.840+00:00,0.893,0
86,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.840+00:00,3.372,0
86,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.844+00:00,10.415,0
87,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.854+00:00,0.482,0
87,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.855+00:00,4.124,0
87,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.859+00:00,24.175,0
87,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.883+00:00,16.383,0
88,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.900+00:00,16.818,0
88,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.916+00:00,5.901,0
88,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.922+00:00,13.924,0
88,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.936+00:00,5.984,0
89,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:44.942+00:00,0.439,0
89,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.943+00:00,21.400,0
89,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:44.964+00:00,13.984,0
89,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.978+00:00,3.102,0
90,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:44.981+00:00,16.580,0
90,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:44.998+00:00,6.539,0
90,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.004+00:00,0.500,0
90,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.005+00:00,22.403,0
91,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.027+00:00,0.850,0
91,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.028+00:00,14.640,0
91,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.043+00:00,0.558,0
91,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.043+00:00,13.163,0
92,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.057+00:00,2.687,0
92,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.059+00:00,13.807,0
92,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.073+00:00,4.617,0
92,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.078+00:00,14.539,0
93,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.093+00:00,6.461,0
93,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.099+00:00,23.980,0
93,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.123+00:00,14.043,0
93,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.137+00:00,5.190,0
94,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.142+00:00,11.750,0
94,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.154+00:00,4.777,0
94,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.159+00:00,13.681,0
94,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.173+00:00,6.169,0
95,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.179+00:00,21.313,0
95,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.200+00:00,18.185,0
95,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.218+00:00,0.765,0
95,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.219+00:00,11.984,0
96,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.231+00:00,17.497,0
96,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.249+00:00,27.187,0
96,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.276+00:00,1.446,0
96,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.277+00:00,3.459,0
97,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.281+00:00,12.085,0
97,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.293+00:00,16.057,0
97,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.309+00:00,0.807,0
97,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.310+00:00,16.254,0
98,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.326+00:00,13.652,0
98,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.340+00:00,5.433,0
98,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.345+00:00,0.605,0
98,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.346+00:00,21.860,0
99,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.368+00:00,50.923,0
99,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.419+00:00,1.523,0
99,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.420+00:00,21.896,0
99,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.442+00:00,0.816,0
100,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:45.443+00:00,11.405,0
100,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:45.455+00:00,7.397,0
100,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:45.462+00:00,10.027,0
100,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:45.472+00:00,0.770,0
